At least,But less than,Single,Married filing jointly,Head of a house hold,Married filing separately
13850,13900,598,555,560,598
13900,13950,601,557,563,601
13950,14000,604,559,565,604
14000,14050,607,561,567,607
14050,14100,610,563,569,610
14100,14150,613,565,572,613
14150,14200,616,567,574,616
14200,14250,619,569,576,619
14250,14300,622,571,578,622
14300,14350,625,573,581,625
14350,14400,628,575,583,628
14400,14450,631,577,585,631
14450,14500,634,579,587,634
14500,14550,637,581,590,637
14550,14600,640,583,592,640
14600,14650,643,585,594,643
14650,14700,646,587,596,646
14700,14750,649,589,599,649
14750,14800,652,591,601,652
14800,14850,655,593,603,655
14850,14900,658,595,605,658
14900,14950,660,597,608,660
14950,15000,663,599,610,663
15000,15050,666,601,612,666
15050,15100,669,603,614,669
15100,15150,672,605,617,672
15150,15200,675,607,619,675
15200,15250,678,609,621,678
15250,15300,681,611,623,681
15300,15350,684,613,626,684
15350,15400,687,615,628,687
15400,15450,690,617,630,690
15450,15500,693,619,632,693
15500,15550,696,621,635,696
15550,15600,699,623,637,699
15600,15650,702,625,639,702
15650,15700,705,627,641,705
15700,15750,708,629,644,708
15750,15800,711,631,646,711
15800,15850,714,633,648,714
15850,15900,717,635,650,717
15900,15950,719,637,653,719
15950,16000,722,639,655,722
16000,16050,725,641,657,725
16050,16100,728,643,659,728
16100,16150,731,645,662,731
16150,16200,734,647,664,734
16200,16250,737,649,666,737
16250,16300,740,651,668,740
16300,16350,743,653,671,743
16350,16400,746,655,673,746
16400,16450,749,657,675,749
16450,16500,752,659,677,752
16500,16550,755,661,680,755
16550,16600,758,663,682,758
16600,16650,761,665,684,761
16650,16700,764,667,686,764
16700,16750,767,669,689,767
16750,16800,770,671,691,770
16800,16850,773,673,693,773
16850,16900,776,675,695,776
16900,16950,778,677,698,778
16950,17000,781,679,700,781
17000,17050,784,681,702,784
17050,17100,787,683,704,787
17100,17150,790,685,707,790
17150,17200,793,687,709,793
17200,17250,796,689,711,796
17250,17300,799,692,713,799
17300,17350,802,694,716,802
17350,17400,805,696,718,805
17400,17450,808,698,720,808
17450,17500,811,701,722,811
17500,17550,814,703,725,814
17550,17600,817,705,727,817
17600,17650,820,707,729,820
17650,17700,823,710,731,823
17700,17750,826,712,734,826
17750,17800,829,714,737,829
17800,17850,832,716,739,832
17850,17900,835,719,742,835
17900,17950,837,721,744,837
17950,18000,840,723,747,840
18000,18050,843,725,750,843
18050,18100,846,728,752,846
18100,18150,849,730,755,849
18150,18200,852,732,758,852
18200,18250,855,734,760,855
18250,18300,858,737,763,858
18300,18350,861,739,765,861
18350,18400,864,741,768,864
18400,18450,867,743,771,867
18450,18500,870,746,773,870
18500,18550,873,748,776,873
18550,18600,876,750,779,876
18600,18650,879,752,781,879
18650,18700,882,755,784,882
18700,18750,885,757,786,885
18750,18800,888,759,789,888
18800,18850,891,761,792,891
18850,18900,894,764,794,894
18900,18950,896,766,797,896
18950,19000,899,768,800,899
19000,19050,902,770,802,902
19050,19100,905,773,805,905
19100,19150,908,775,807,908
19150,19200,911,777,810,911
19200,19250,914,779,813,914
19250,19300,917,782,815,917
19300,19350,920,784,818,920
19350,19400,923,786,821,923
19400,19450,926,788,823,926
19450,19500,929,791,826,929
19500,19550,932,793,828,932
19550,19600,935,795,831,935
19600,19650,938,797,834,938
19650,19700,941,800,836,941
19700,19750,944,802,839,944
19750,19800,947,804,842,947
19800,19850,950,806,844,950
19850,19900,953,809,847,953
19900,19950,955,811,849,955
19950,20000,958,813,852,958
20000,20050,961,815,855,961
20050,20100,964,818,857,964
20100,20150,967,820,860,967
20150,20200,970,822,863,970
20200,20250,973,824,865,973
20250,20300,976,827,868,976
20300,20350,979,829,870,979
20350,20400,982,831,873,982
20400,20450,985,833,876,985
20450,20500,988,836,878,988
20500,20550,991,838,881,991
20550,20600,994,840,884,994
20600,20650,997,842,886,997
20650,20700,1000,845,889,1000
20700,20750,1003,847,891,1003
20750,20800,1006,849,894,1006
20800,20850,1009,851,897,1009
20850,20900,1012,854,899,1012
20900,20950,1014,856,902,1014
20950,21000,1017,858,905,1017
21000,21050,1020,860,908,1020
21050,21100,1023,863,911,1023
21100,21150,1026,865,914,1026
21150,21200,1029,867,917,1029
21200,21250,1032,869,920,1032
21250,21300,1035,872,923,1035
21300,21350,1038,874,926,1038
21350,21400,1041,876,929,1041
21400,21450,1044,878,932,1044
21450,21500,1047,881,935,1047
21500,21550,1050,883,938,1050
21550,21600,1053,885,941,1053
21600,21650,1056,887,944,1056
21650,21700,1059,890,947,1059
21700,21750,1063,892,950,1063
21750,21800,1066,894,953,1066
21800,21850,1069,896,956,1069
21850,21900,1072,899,959,1072
21900,21950,1075,901,961,1075
21950,22000,1078,903,964,1078
22000,22050,1082,905,967,1082
22050,22100,1085,908,970,1085
22100,22150,1088,910,973,1088
22150,22200,1091,912,976,1091
22200,22250,1094,914,979,1094
22250,22300,1097,917,982,1097
22300,22350,1101,919,985,1101
22350,22400,1104,921,988,1104
22400,22450,1107,923,991,1107
22450,22500,1110,926,994,1110
22500,22550,1113,928,997,1113
22550,22600,1116,930,1000,1116
22600,22650,1120,932,1003,1120
22650,22700,1123,935,1006,1123
22700,22750,1126,937,1009,1126
22750,22800,1129,939,1012,1129
22800,22850,1132,941,1015,1132
22850,22900,1135,944,1018,1135
22900,22950,1139,946,1020,1139
22950,23000,1142,948,1023,1142
23000,23050,1145,950,1026,1145
23050,23100,1148,953,1029,1148
23100,23150,1151,955,1032,1151
23150,23200,1154,957,1035,1154
23200,23250,1158,959,1038,1158
23250,23300,1161,962,1041,1161
23300,23350,1164,964,1044,1164
23350,23400,1167,966,1047,1167
23400,23450,1170,968,1050,1170
23450,23500,1173,971,1053,1173
23500,23550,1177,973,1056,1177
23550,23600,1180,975,1059,1180
23600,23650,1183,977,1062,1183
23650,23700,1186,980,1065,1186
23700,23750,1189,983,1068,1189
23750,23800,1192,985,1071,1192
23800,23850,1196,988,1074,1196
23850,23900,1199,990,1077,1199
23900,23950,1202,993,1079,1202
23950,24000,1205,996,1082,1205
24000,24050,1208,998,1085,1208
24050,24100,1211,1001,1088,1211
24100,24150,1214,1004,1091,1214
24150,24200,1218,1006,1094,1218
24200,24250,1221,1009,1097,1221
24250,24300,1224,1011,1100,1224
24300,24350,1227,1014,1103,1227
24350,24400,1230,1017,1106,1230
24400,24450,1233,1019,1109,1233
24450,24500,1237,1022,1112,1237
24500,24550,1240,1025,1115,1240
24550,24600,1243,1027,1118,1243
24600,24650,1246,1030,1121,1246
24650,24700,1249,1032,1124,1249
24700,24750,1252,1035,1127,1252
24750,24800,1256,1038,1130,1256
24800,24850,1259,1040,1133,1259
24850,24900,1262,1043,1136,1262
24900,24950,1265,1046,1138,1265
24950,25000,1268,1048,1141,1268
25000,25050,1271,1051,1144,1271
25050,25100,1275,1053,1147,1275
25100,25150,1278,1056,1150,1278
25150,25200,1281,1059,1153,1281
25200,25250,1284,1061,1156,1284
25250,25300,1287,1064,1159,1287
25300,25350,1290,1067,1162,1290
25350,25400,1294,1069,1165,1294
25400,25450,1297,1072,1168,1297
25450,25500,1300,1074,1171,1300
25500,25550,1303,1077,1174,1303
25550,25600,1306,1080,1177,1306
25600,25650,1309,1082,1180,1309
25650,25700,1313,1085,1183,1313
25700,25750,1316,1088,1186,1316
25750,25800,1319,1090,1189,1319
25800,25850,1322,1093,1192,1322
25850,25900,1325,1095,1195,1325
25900,25950,1328,1098,1197,1328
25950,26000,1332,1101,1200,1332
26000,26050,1335,1103,1203,1335
26050,26100,1338,1106,1206,1338
26100,26150,1341,1109,1209,1341
26150,26200,1344,1111,1212,1344
26200,26250,1347,1114,1215,1347
26250,26300,1351,1116,1218,1351
26300,26350,1354,1119,1221,1354
26350,26400,1357,1122,1224,1357
26400,26450,1360,1124,1227,1360
26450,26500,1363,1127,1230,1363
26500,26550,1366,1130,1233,1366
26550,26600,1370,1132,1236,1370
26600,26650,1373,1135,1239,1373
26650,26700,1376,1137,1242,1376
26700,26750,1379,1140,1245,1379
26750,26800,1382,1143,1248,1382
26800,26850,1385,1145,1251,1385
26850,26900,1389,1148,1254,1389
26900,26950,1392,1151,1256,1392
26950,27000,1395,1153,1259,1395
27000,27050,1398,1156,1262,1398
27050,27100,1401,1158,1265,1401
27100,27150,1404,1161,1268,1404
27150,27200,1408,1164,1271,1408
27200,27250,1411,1166,1274,1411
27250,27300,1414,1169,1277,1414
27300,27350,1417,1172,1280,1417
27350,27400,1420,1174,1283,1420
27400,27450,1423,1177,1286,1423
27450,27500,1427,1179,1289,1427
27500,27550,1430,1182,1292,1430
27550,27600,1433,1185,1295,1433
27600,27650,1436,1187,1298,1436
27650,27700,1439,1190,1301,1439
27700,27750,1442,1193,1304,1442
27750,27800,1446,1195,1307,1446
27800,27850,1449,1198,1310,1449
27850,27900,1452,1200,1313,1452
27900,27950,1455,1203,1315,1455
27950,28000,1458,1206,1318,1458
28000,28050,1461,1209,1321,1461
28050,28100,1465,1212,1324,1465
28100,28150,1468,1215,1327,1468
28150,28200,1471,1218,1330,1471
28200,28250,1474,1221,1333,1474
28250,28300,1477,1224,1336,1477
28300,28350,1480,1227,1339,1480
28350,28400,1484,1230,1342,1484
28400,28450,1487,1233,1345,1487
28450,28500,1490,1236,1348,1490
28500,28550,1493,1239,1351,1493
28550,28600,1496,1242,1354,1496
28600,28650,1499,1245,1357,1499
28650,28700,1503,1248,1360,1503
28700,28750,1506,1251,1363,1506
28750,28800,1509,1254,1366,1509
28800,28850,1512,1257,1369,1512
28850,28900,1515,1260,1372,1515
28900,28950,1518,1262,1374,1518
28950,29000,1521,1265,1377,1521
29000,29050,1525,1268,1380,1525
29050,29100,1528,1271,1383,1528
29100,29150,1531,1274,1386,1531
29150,29200,1534,1277,1389,1534
29200,29250,1537,1280,1392,1537
29250,29300,1540,1283,1395,1540
29300,29350,1544,1286,1398,1544
29350,29400,1547,1289,1401,1547
29400,29450,1550,1292,1404,1550
29450,29500,1553,1295,1407,1553
29500,29550,1556,1298,1410,1556
29550,29600,1559,1301,1413,1559
29600,29650,1563,1304,1416,1563
29650,29700,1566,1307,1419,1566
29700,29750,1569,1310,1422,1569
29750,29800,1572,1313,1425,1572
29800,29850,1575,1316,1428,1575
29850,29900,1578,1319,1431,1578
29900,29950,1582,1321,1433,1582
29950,30000,1585,1324,1436,1585
30000,30050,1588,1327,1439,1588
30050,30100,1591,1330,1442,1591
30100,30150,1594,1333,1445,1594
30150,30200,1597,1336,1448,1597
30200,30250,1601,1339,1451,1601
30250,30300,1604,1342,1454,1604
30300,30350,1607,1345,1457,1607
30350,30400,1610,1348,1460,1610
30400,30450,1613,1351,1463,1613
30450,30500,1616,1354,1466,1616
30500,30550,1620,1357,1469,1620
30550,30600,1623,1360,1472,1623
30600,30650,1626,1363,1475,1626
30650,30700,1629,1366,1478,1629
30700,30750,1632,1369,1481,1632
30750,30800,1635,1372,1484,1635
30800,30850,1639,1375,1487,1639
30850,30900,1642,1378,1490,1642
30900,30950,1645,1380,1492,1645
30950,31000,1648,1383,1495,1648
31000,31050,1651,1386,1498,1651
31050,31100,1654,1389,1501,1654
31100,31150,1658,1392,1504,1658
31150,31200,1661,1395,1507,1661
31200,31250,1664,1398,1510,1664
31250,31300,1667,1401,1513,1667
31300,31350,1670,1404,1516,1670
31350,31400,1673,1407,1519,1673
31400,31450,1677,1410,1522,1677
31450,31500,1680,1413,1525,1680
31500,31550,1683,1416,1528,1683
31550,31600,1686,1419,1531,1686
31600,31650,1689,1422,1534,1689
31650,31700,1692,1425,1537,1692
31700,31750,1696,1428,1540,1696
31750,31800,1699,1431,1543,1699
31800,31850,1702,1434,1546,1702
31850,31900,1705,1437,1549,1705
31900,31950,1708,1439,1551,1708
31950,32000,1711,1442,1554,1711
32000,32050,1715,1445,1557,1715
32050,32100,1718,1448,1560,1718
32100,32150,1721,1451,1563,1721
32150,32200,1724,1454,1566,1724
32200,32250,1727,1457,1570,1727
32250,32300,1730,1460,1573,1730
32300,32350,1734,1463,1576,1734
32350,32400,1737,1466,1579,1737
32400,32450,1740,1469,1582,1740
32450,32500,1743,1472,1585,1743
32500,32550,1746,1475,1589,1746
32550,32600,1749,1478,1592,1749
32600,32650,1753,1481,1595,1753
32650,32700,1756,1484,1598,1756
32700,32750,1759,1487,1601,1759
32750,32800,1762,1490,1604,1762
32800,32850,1765,1493,1608,1765
32850,32900,1768,1496,1611,1768
32900,32950,1772,1498,1614,1772
32950,33000,1775,1501,1617,1775
33000,33050,1778,1504,1620,1778
33050,33100,1781,1507,1623,1781
33100,33150,1784,1510,1627,1784
33150,33200,1787,1513,1630,1787
33200,33250,1791,1516,1633,1791
33250,33300,1794,1519,1636,1794
33300,33350,1797,1522,1639,1797
33350,33400,1800,1525,1642,1800
33400,33450,1803,1528,1646,1803
33450,33500,1806,1531,1649,1806
33500,33550,1810,1534,1652,1810
33550,33600,1813,1537,1655,1813
33600,33650,1816,1540,1658,1816
33650,33700,1819,1543,1661,1819
33700,33750,1822,1546,1665,1822
33750,33800,1825,1549,1668,1825
33800,33850,1829,1552,1671,1829
33850,33900,1832,1555,1674,1832
33900,33950,1835,1557,1677,1835
33950,34000,1838,1560,1680,1838
34000,34050,1841,1563,1684,1841
34050,34100,1844,1566,1687,1844
34100,34150,1847,1569,1690,1847
34150,34200,1851,1572,1693,1851
34200,34250,1854,1575,1696,1854
34250,34300,1857,1578,1699,1857
34300,34350,1860,1581,1703,1860
34350,34400,1863,1584,1706,1863
34400,34450,1866,1587,1709,1866
34450,34500,1870,1590,1712,1870
34500,34550,1873,1593,1715,1873
34550,34600,1876,1596,1718,1876
34600,34650,1879,1599,1722,1879
34650,34700,1882,1602,1725,1882
34700,34750,1885,1605,1728,1885
34750,34800,1889,1608,1731,1889
34800,34850,1892,1611,1734,1892
34850,34900,1895,1614,1737,1895
34900,34950,1898,1616,1740,1898
34950,35000,1901,1619,1744,1901
35000,35050,1904,1622,1747,1904
35050,35100,1908,1625,1750,1908
35100,35150,1911,1628,1753,1911
35150,35200,1914,1631,1756,1914
35200,35250,1917,1634,1759,1917
35250,35300,1920,1637,1763,1920
35300,35350,1923,1640,1766,1923
35350,35400,1927,1643,1769,1927
35400,35450,1930,1646,1772,1930
35450,35500,1933,1649,1775,1933
35500,35550,1936,1652,1778,1936
35550,35600,1939,1655,1782,1939
35600,35650,1942,1658,1785,1942
35650,35700,1946,1661,1788,1946
35700,35750,1949,1664,1791,1949
35750,35800,1952,1667,1794,1952
35800,35850,1955,1670,1797,1955
35850,35900,1958,1673,1801,1958
35900,35950,1961,1675,1804,1961
35950,36000,1965,1678,1807,1965
36000,36050,1968,1681,1810,1968
36050,36100,1971,1684,1813,1971
36100,36150,1974,1687,1816,1974
36150,36200,1977,1690,1820,1977
36200,36250,1980,1693,1823,1980
36250,36300,1984,1696,1826,1984
36300,36350,1987,1699,1829,1987
36350,36400,1990,1702,1832,1990
36400,36450,1993,1705,1835,1993
36450,36500,1996,1708,1839,1996
36500,36550,1999,1711,1842,1999
36550,36600,2003,1714,1845,2003
36600,36650,2006,1717,1848,2006
36650,36700,2009,1720,1851,2009
36700,36750,2012,1723,1854,2012
36750,36800,2015,1726,1858,2015
36800,36850,2018,1729,1861,2018
36850,36900,2022,1732,1864,2022
36900,36950,2025,1734,1867,2025
36950,37000,2028,1737,1870,2028
37000,37050,2031,1740,1873,2031
37050,37100,2034,1743,1877,2034
37100,37150,2037,1746,1880,2037
37150,37200,2041,1749,1883,2041
37200,37250,2044,1752,1886,2044
37250,37300,2047,1755,1889,2047
37300,37350,2050,1758,1892,2050
37350,37400,2053,1761,1896,2053
37400,37450,2056,1764,1899,2056
37450,37500,2060,1767,1902,2060
37500,37550,2063,1770,1905,2063
37550,37600,2066,1773,1908,2066
37600,37650,2069,1776,1911,2069
37650,37700,2072,1779,1915,2072
37700,37750,2075,1782,1918,2075
37750,37800,2079,1785,1921,2079
37800,37850,2082,1788,1924,2082
37850,37900,2085,1791,1927,2085
37900,37950,2088,1793,1930,2088
37950,38000,2091,1796,1934,2091
38000,38050,2094,1799,1937,2094
38050,38100,2098,1802,1940,2098
38100,38150,2101,1805,1943,2101
38150,38200,2104,1808,1946,2104
38200,38250,2107,1811,1949,2107
38250,38300,2110,1814,1953,2110
38300,38350,2113,1817,1956,2113
38350,38400,2117,1820,1959,2117
38400,38450,2120,1823,1962,2120
38450,38500,2123,1826,1965,2123
38500,38550,2126,1829,1968,2126
38550,38600,2129,1832,1972,2129
38600,38650,2132,1835,1975,2132
38650,38700,2136,1838,1978,2136
38700,38750,2139,1841,1981,2139
38750,38800,2142,1844,1984,2142
38800,38850,2145,1847,1987,2145
38850,38900,2148,1850,1991,2148
38900,38950,2151,1852,1994,2151
38950,39000,2154,1855,1997,2154
39000,39050,2158,1858,2000,2158
39050,39100,2161,1861,2003,2161
39100,39150,2164,1864,2006,2164
39150,39200,2167,1867,2010,2167
39200,39250,2170,1870,2013,2170
39250,39300,2173,1873,2016,2173
39300,39350,2177,1876,2019,2177
39350,39400,2180,1879,2022,2180
39400,39450,2183,1882,2025,2183
39450,39500,2186,1885,2029,2186
39500,39550,2189,1888,2032,2189
39550,39600,2192,1891,2035,2192
39600,39650,2196,1894,2038,2196
39650,39700,2199,1897,2041,2199
39700,39750,2202,1900,2044,2202
39750,39800,2205,1903,2047,2205
39800,39850,2208,1906,2051,2208
39850,39900,2211,1909,2054,2211
39900,39950,2215,1911,2057,2215
39950,40000,2218,1914,2060,2218
40000,40050,2221,1917,2063,2221
40050,40100,2224,1920,2066,2224
40100,40150,2227,1923,2070,2227
40150,40200,2230,1926,2073,2230
40200,40250,2234,1929,2076,2234
40250,40300,2237,1932,2079,2237
40300,40350,2240,1935,2082,2240
40350,40400,2243,1938,2085,2243
40400,40450,2246,1941,2089,2246
40450,40500,2249,1944,2092,2249
40500,40550,2253,1947,2095,2253
40550,40600,2256,1950,2098,2256
40600,40650,2259,1953,2101,2259
40650,40700,2262,1956,2104,2262
40700,40750,2265,1959,2108,2265
40750,40800,2268,1962,2111,2268
40800,40850,2272,1965,2114,2272
40850,40900,2275,1968,2117,2275
40900,40950,2278,1970,2120,2278
40950,41000,2281,1973,2123,2281
41000,41050,2284,1976,2127,2284
41050,41100,2287,1979,2130,2287
41100,41150,2291,1982,2133,2291
41150,41200,2294,1985,2136,2294
41200,41250,2297,1988,2139,2297
41250,41300,2300,1991,2142,2300
41300,41350,2303,1994,2146,2303
41350,41400,2306,1997,2149,2306
41400,41450,2310,2000,2152,2310
41450,41500,2313,2003,2155,2313
41500,41550,2316,2006,2158,2316
41550,41600,2319,2009,2161,2319
41600,41650,2322,2012,2165,2322
41650,41700,2325,2015,2168,2325
41700,41750,2329,2018,2171,2329
41750,41800,2332,2021,2174,2332
41800,41850,2335,2024,2177,2335
41850,41900,2338,2027,2180,2338
41900,41950,2341,2029,2184,2341
41950,42000,2344,2032,2187,2344
42000,42050,2348,2035,2190,2348
42050,42100,2351,2038,2193,2351
42100,42150,2354,2041,2196,2354
42150,42200,2357,2044,2199,2357
42200,42250,2360,2047,2203,2360
42250,42300,2363,2050,2206,2363
42300,42350,2367,2053,2209,2367
42350,42400,2370,2056,2212,2370
42400,42450,2373,2059,2215,2373
42450,42500,2376,2062,2218,2376
42500,42550,2379,2065,2222,2379
42550,42600,2382,2068,2225,2382
42600,42650,2386,2071,2228,2386
42650,42700,2389,2074,2231,2389
42700,42750,2392,2077,2234,2392
42750,42800,2395,2080,2237,2395
42800,42850,2398,2083,2241,2398
42850,42900,2401,2086,2244,2401
42900,42950,2405,2088,2247,2405
42950,43000,2408,2091,2250,2408
43000,43050,2411,2095,2253,2411
43050,43100,2414,2098,2256,2414
43100,43150,2417,2101,2260,2417
43150,43200,2420,2104,2263,2420
43200,43250,2424,2107,2266,2424
43250,43300,2427,2110,2269,2427
43300,43350,2430,2114,2272,2430
43350,43400,2433,2117,2275,2433
43400,43450,2436,2120,2279,2436
43450,43500,2439,2123,2282,2439
43500,43550,2443,2126,2285,2443
43550,43600,2446,2129,2288,2446
